
ESTUDIANTE|NOMGRADO|GRUPO|PROMEDIO1|PROMEDIO2|PROMEDIO3|PROMEDIO4|PromedioFinal|PUESTO1|PUESTO2|PUESTO3|PUESTO4|PuestoFinal|SEXO|ViveCon|NUMHERMANO|FechaNacimiento|ESTADCIVIL|ESTRATO|Retirado|ANO|ViveconMadre|ViveconPadre|ViveconAmbos|ViveconOtros|Casados|Solteros|Separados|UnionLibre|Viudo|RetiradoCluster|numgrado|Edad|Hombre|Mujer
20101281  |SEGUNDO                  |01|32,364|35,545|32,636|31,364|33,091|34|37|33|33|32|M|Madre,Padre|2 |2004|casado(a)(os)  |3|0|2012|0|0|1|0|1|0|0|0|0|0|3|8|1|0
20101282  |CUARTO                   |03|42,100|43,600|45,000|43,600|43,800|6|5|4|5|5|F|Madre,Padre|2 |2005|casado(a)(os)  |2|0|2015|0|0|1|0|1|0|0|0|0|0|5|10|0|1
20101282  |PRIMERO                  |01|47,200|48,200|50,000|48,700|48,600|9|8|1|5|6|F|Madre,Padre|2 |2005|casado(a)(os)  |2|0|2011|0|0|1|0|1|0|0|0|0|0|2|6|0|1
20101283  |CUARTO                   |03|36,000|35,000|34,800|35,500|35,500|20|21|20|23|23|M|Madre,Padre|2 |2004|viudo(a)       |2|0|2015|0|0|1|0|0|0|0|0|1|0|5|11|1|0
20101283  |SEXTO                    |02|30,273|32,909|32,727|34,364|32,818|28|25|25|24|28|M|Madre,Padre|2 |2004|viudo(a)       |2|0|2016|0|0|1|0|0|0|0|0|1|0|7|12|1|0
20101284  |SEGUNDO                  |02|41,545|38,364|37,818|35,364|38,364|12|15|20|24|18|M|Madre|1 |2004|separado(a)(os)|2|0|2014|1|0|0|0|0|0|1|0|0|0|3|10|1|0
20101286  |CUARTO                   |03|35,500|33,900|33,800|35,000|34,500|23|26|27|25|27|M|Madre|2 |2004|soltero(a)(os) |2|2020|2016|1|0|0|0|0|1|0|0|0|0|5|12|1|0
20101286  |SEXTO                    |03|31,455|33,091|31,273|29,091|31,273|22|21|20|23|22|M|Madre|2 |2004|soltero(a)(os) |2|2020|2019|1|0|0|0|0|1|0|0|0|0|7|15|1|0
20101287  |OCTAVO                   |02|37,667|35,917|,000|37,083|,000|14|13|1|10|0|M|Madre,Padre|3 |2004|casado(a)(os)  |2|0|2021|0|0|1|0|1|0|0|0|0|0|9|17|1|0
20101287  |SEGUNDO                  |03|37,300|37,300|42,000|40,200|39,300|19|20|10|15|16|M|Madre,Padre|3 |2004|casado(a)(os)  |2|0|2015|0|0|1|0|1|0|0|0|0|0|3|11|1|0
20101287  |SEPTIMO                  |02|39,545|40,545|29,091|36,455|,000|8|9|25|13|1|M|Madre,Padre|3 |2004|casado(a)(os)  |2|0|2020|0|0|1|0|1|0|0|0|0|0|8|16|1|0
20101288  |OCTAVO                   |03|31,500|30,250|,000|31,167|,000|25|20|1|23|0|F|Madre,Padre|1 |2005|separado(a)(os)|2|0|2021|0|0|1|0|0|0|1|0|0|0|9|16|0|1
20101288  |QUINTO                   |02|34,400|35,600|35,000|34,700|35,000|23|22|21|24|20|F|Madre,Padre|1 |2005|separado(a)(os)|2|0|2017|0|0|1|0|0|0|1|0|0|0|6|12|0|1
20101289  |SEXTO                    |02|39,818|41,636|41,000|41,364|41,000|3|2|2|2|2|F|Madre,Padre|2 |2004|casado(a)(os)  |2|0|2017|0|0|1|0|1|0|0|0|0|0|7|13|0|1
20101290  |QUINTO                   |02|43,300|40,200|43,600|44,700|43,100|3|7|5|4|4|F|Madre,Padre|2 |2004|casado(a)(os)  |2|0|2015|0|0|1|0|1|0|0|0|0|0|6|11|0|1
20101290  |SEXTO                    |03|44,000|42,727|41,909|43,364|43,000|4|4|6|5|5|F|Madre,Padre|2 |2004|casado(a)(os)  |2|0|2016|0|0|1|0|1|0|0|0|0|0|7|12|0|1
20101291  |CUARTO                   |02|43,400|44,400|44,200|44,500|44,400|6|3|5|8|6|F|Madre,Padre|1 |2004|casado(a)(os)  |2|0|2014|0|0|1|0|1|0|0|0|0|0|5|10|0|1
20101291  |CUARTO                   |03|43,800|44,100|45,400|44,600|44,500|4|3|3|4|3|F|Madre,Padre|1 |2004|casado(a)(os)  |2|0|2015|0|0|1|0|1|0|0|0|0|0|5|11|0|1
20101234  |CUARTO                   |02|37,300|40,400|41,900|41,800|40,400|23|13|11|12|12|M|Madre|2 |2004|separado(a)(os)|2|0|2015|1|0|0|0|0|0|1|0|0|0|5|11|1|0
20101234  |QUINTO                   |02|37,200|38,500|36,500|37,100|37,400|17|14|19|16|17|M|Madre|2 |2004|separado(a)(os)|2|0|2016|1|0|0|0|0|0|1|0|0|0|6|12|1|0
20101235  |CUARTO                   |04|32,000|32,667|29,917|36,417|32,667|18|18|22|12|18|M|Padre|2 |2005|union libre    |2|2019|2018|0|1|0|0|0|0|0|1|0|0|5|13|1|0
20101235  |PRIMERO                  |01|43,600|43,400|46,800|46,500|45,300|18|17|5|10|13|M|Padre|2 |2005|union libre    |2|2019|2011|0|1|0|0|0|0|0|1|0|0|2|6|1|0
20101235  |TERCERO                  |01|37,100|35,700|37,900|34,900|36,500|24|21|17|24|22|M|Padre|2 |2005|union libre    |2|2019|2013|0|1|0|0|0|0|0|1|0|0|4|8|1|0
20101236  |DECIMO                   |04|31,417|29,833|,000|30,833|,000|25|23|1|24|0|M|Madre|3 |2004|soltero(a)(os) |2|0|2021|1|0|0|0|0|1|0|0|0|0|11|17|1|0
20101237  |NOVENO                   |02|40,167|35,917|39,833|41,667|39,500|8|22|7|5|8|F|Padre|2 |2004|casado(a)(os)  |2|0|2019|0|1|0|0|1|0|0|0|0|0|10|15|0|1
20101237  |QUINTO                   |03|41,100|43,200|44,600|44,700|43,600|7|3|2|2|3|F|Padre|2 |2004|casado(a)(os)  |2|0|2015|0|1|0|0|1|0|0|0|0|0|6|11|0|1
20101183  |UNDECIMO                 |01|32,706|33,294|34,882|38,353|34,941|35|36|31|22|32|F|Madre,Padre|1 |1993|union libre    |2|0|2010|0|0|1|0|0|0|0|1|0|0|12|17|0|1
20101234  |CUARTO                   |02|36,600|39,200|36,000|36,400|37,300|24|17|23|24|24|M|Madre|2 |2004|separado(a)(os)|2|0|2014|1|0|0|0|0|0|1|0|0|0|5|10|1|0
20101234  |DECIMO                   |03|29,333|31,750|,000|30,750|,000|20|12|1|15|0|M|Madre|2 |2004|separado(a)(os)|2|0|2021|1|0|0|0|0|0|1|0|0|0|11|17|1|0
20101234  |PRIMERO                  |01|42,600|41,900|39,000|41,900|41,500|22|20|19|21|22|M|Madre|2 |2004|separado(a)(os)|2|0|2011|1|0|0|0|0|0|1|0|0|0|2|7|1|0
20101235  |SEGUNDO                  |01|42,273|41,091|39,455|42,545|41,455|14|22|19|18|18|M|Padre|2 |2005|union libre    |2|2019|2012|0|1|0|0|0|0|0|1|0|0|3|7|1|0
20100938  |UNDECIMO                 |02|37,250|33,833|37,833|39,167|37,167|7|21|16|6|12|F|Madre,Padre|1 |1994|casado(a)(os)  |2|0|2013|0|0|1|0|1|0|0|0|0|0|12|19|0|1
20100940  |DECIMO                   |03|33,222|35,222|31,778|31,167|32,889|24|21|32|28|28|F|Padre|0 |1997|union libre    |2|0|2011|0|1|0|0|0|0|0|1|0|0|11|14|0|1
20100943  |NOVENO                   |02|33,933|35,467|37,067|36,333|35,933|23|9|11|18|14|M|No registra|0 |1995|no registra    |2|0|2010|0|0|0|0|0|0|0|0|0|0|10|15|1|0
20100951  |DECIMO                   |01|37,167|39,222|38,278|39,611|38,667|10|5|2|4|3|F|No registra|0 |1995|no registra    |2|0|2011|0|0|0|0|0|0|0|0|0|0|11|16|0|1
20100956  |NOVENO                   |03|35,333|35,400|35,400|35,333|35,533|16|17|21|18|20|F|No registra|0 |1995|no registra    |3|0|2010|0|0|0|0|0|0|0|0|0|0|10|15|0|1
20100965  |UNDECIMO                 |02|34,417|35,917|35,500|37,833|35,917|30|20|30|22|27|F|Padre|4 |1995|casado(a)(os)  |2|0|2012|0|1|0|0|1|0|0|0|0|0|12|17|0|1
20100968  |UNDECIMO                 |02|33,417|33,417|36,667|38,667|35,667|32|27|24|20|29|M|Madre,Padre|2 |1995|casado(a)(os)  |2|0|2012|0|0|1|0|1|0|0|0|0|0|12|17|1|0
20100973  |NOVENO                   |03|34,467|36,267|36,333|35,600|35,800|20|14|18|17|19|M|Madre|1 |1996|viudo(a)       |3|0|2010|1|0|0|0|0|0|0|0|1|0|10|14|1|0
20100976  |NOVENO                   |03|34,133|34,400|37,467|36,667|35,933|21|19|12|12|18|M|No registra|0 |1995|no registra    |6|0|2010|0|0|0|0|0|0|0|0|0|0|10|15|1|0
20100998  |DECIMO                   |02|41,722|42,722|43,500|42,778|42,833|3|2|2|2|2|M|Madre,Padre|0 |1996|casado(a)(os)  |3|0|2011|0|0|1|0|1|0|0|0|0|0|11|15|1|0
20101002  |DECIMO                   |02|31,944|30,667|35,056|34,235|33,000|25|25|25|28|27|M|No registra|0 |1996|no registra    |2|0|2011|0|0|0|0|0|0|0|0|0|0|11|15|1|0
20101008  |NOVENO                   |04|37,267|36,067|37,400|37,400|37,133|8|10|5|4|5|M|No registra|0 |1996|no registra    |1|0|2010|0|0|0|0|0|0|0|0|0|0|10|14|1|0
20101017  |DECIMO                   |01|33,944|32,889|35,167|35,111|34,444|24|30|21|28|28|F|No registra|0 |1994|no registra    |5|0|2011|0|0|0|0|0|0|0|0|0|0|11|17|0|1
20101028  |NOVENO                   |05|35,600|37,333|39,067|36,933|37,267|17|8|3|5|10|F|No registra|0 |1995|no registra    |2|0|2010|0|0|0|0|0|0|0|0|0|0|10|15|0|1
20101030  |UNDECIMO                 |01|33,833|34,083|36,167|39,250|35,917|19|26|25|14|20|F|No registra|0 |1996|no registra    |3|0|2012|0|0|0|0|0|0|0|0|0|0|12|16|0|1
20101033  |NOVENO                   |05|35,600|32,800|35,000|36,400|35,133|17|23|17|8|17|M|No registra|0 |1995|no registra    |3|0|2010|0|0|0|0|0|0|0|0|0|0|10|15|1|0
20101291  |PRIMERO                  |02|48,300|44,300|43,100|43,000|45,000|1|1|1|2|1|F|Madre,Padre|1 |2004|casado(a)(os)  |2|0|2011|0|0|1|0|1|0|0|0|0|0|2|7|0|1
20101293  |DECIMO                   |03|39,500|38,167|39,000|38,750|,000|15|16|15|14|1|M|Madre,Padre|1 |2004|union libre    |2|0|2020|0|0|1|0|0|0|0|1|0|0|11|16|1|0
20101293  |PRIMERO                  |01|43,800|39,900|43,900|48,400|44,200|17|23|13|6|16|M|Madre,Padre|1 |2004|union libre    |2|0|2011|0|0|1|0|0|0|0|1|0|0|2|7|1|0
20101293  |QUINTO                   |06|37,111|37,100|37,800|41,200|38,400|10|10|11|5|9|M|Madre,Padre|1 |2004|union libre    |2|0|2015|0|0|1|0|0|0|0|1|0|0|6|11|1|0
20101293  |SEGUNDO                  |07|39,300|40,500|40,000|39,500|39,900|5|4|5|8|4|M|Madre,Padre|1 |2004|union libre    |2|0|2012|0|0|1|0|0|0|0|1|0|0|3|8|1|0
20101294  |SEGUNDO                  |02|35,909|40,000|42,273|41,182|40,000|21|15|15|15|19|F|Madre,Padre|1 |2005|union libre    |2|0|2012|0|0|1|0|0|0|0|1|0|0|3|7|0|1
20101295  |PRIMERO                  |01|39,400|39,100|36,300|44,800|40,200|25|26|23|16|23|M|Madre|3 |2003|separado(a)(os)|2|2018|2011|1|0|0|0|0|0|1|0|0|0|2|8|1|0
20101296  |CUARTO                   |02|39,600|36,600|38,300|39,800|38,500|15|26|16|15|20|F|Madre|1 |2004|separado(a)(os)|2|2019|2014|1|0|0|0|0|0|1|0|0|0|5|10|0|1
20101296  |TERCERO                  |02|38,300|38,700|37,100|37,000|38,000|19|24|23|22|22|F|Madre|1 |2004|separado(a)(os)|2|2019|2013|1|0|0|0|0|0|1|0|0|0|4|9|0|1
20101297  |CUARTO                   |04|36,000|35,333|35,750|34,000|35,417|15|15|9|12|13|F|Madre,Padre|4 |2003|union libre    |2|2016|2019|0|0|1|0|0|0|0|1|0|0|5|16|0|1
20101297  |PRIMERO                  |06|38,500|35,500|33,900|32,600|35,300|17|21|26|23|25|F|Madre,Padre|4 |2003|union libre    |2|2016|2010|0|0|1|0|0|0|0|1|0|0|2|7|0|1
20101297  |PRIMERO                  |06|39,300|39,000|38,800|39,000|39,100|8|8|11|13|10|F|Madre,Padre|4 |2003|union libre    |2|2016|2011|0|0|1|0|0|0|0|1|0|0|2|8|0|1
20101297  |TERCERO                  |06|38,200|37,500|34,500|32,100|35,700|7|9|17|23|15|F|Madre,Padre|4 |2003|union libre    |2|2016|2013|0|0|1|0|0|0|0|1|0|0|4|10|0|1
20101299  |NOVENO                   |02|21,667|22,750|19,917|21,500|,000|33|30|31|31|1|F|Madre,Padre|1 |2003|union libre    |2|0|2020|0|0|1|0|0|0|0|1|0|0|10|17|0|1
20101299  |OCTAVO                   |06|38,167|32,750|35,000|35,000|35,500|13|18|15|16|16|F|Madre,Padre|1 |2003|union libre    |2|0|2018|0|0|1|0|0|0|0|1|0|0|9|15|0|1
20101299  |SEGUNDO                  |06|40,900|42,800|43,300|39,900|41,700|4|2|2|9|4|F|Madre,Padre|1 |2003|union libre    |2|0|2012|0|0|1|0|0|0|0|1|0|0|3|9|0|1
20101300  |CUARTO                   |07|30,300|33,500|34,700|37,700|34,200|23|14|13|10|16|M|Madre,Padre|4 |2003|casado(a)(os)  |2|2019|2014|0|0|1|0|1|0|0|0|0|0|5|11|1|0
20101300  |PRIMERO                  |06|38,300|36,700|37,300|38,100|37,800|19|16|13|14|15|M|Madre,Padre|4 |2003|casado(a)(os)  |2|2019|2010|0|0|1|0|1|0|0|0|0|0|2|7|1|0
20101302  |DECIMO                   |04|36,000|32,333|34,583|34,417|34,667|16|19|20|19|19|M|Madre,Padre|1 |2004|casado(a)(os)  |2|0|2019|0|0|1|0|1|0|0|0|0|0|11|15|1|0
20101303  |NOVENO                   |02|40,167|39,417|41,333|42,250|40,917|5|7|4|3|5|F|Madre,Padre|3 |2004|union libre    |2|0|2018|0|0|1|0|0|0|0|1|0|0|10|14|0|1
20101303  |PRIMERO                  |06|40,300|37,100|39,600|40,900|39,700|8|14|4|7|8|F|Madre,Padre|3 |2004|union libre    |2|0|2010|0|0|1|0|0|0|0|1|0|0|2|6|0|1
20101303  |SEGUNDO                  |06|41,400|42,900|40,500|39,900|41,400|7|2|9|9|8|F|Madre,Padre|3 |2004|union libre    |2|0|2011|0|0|1|0|0|0|0|1|0|0|3|7|0|1
20101305  |SEGUNDO                  |06|36,800|34,700|38,200|40,900|37,800|22|27|13|6|19|F|Madre,Padre|2 |2003|union libre    |2|0|2011|0|0|1|0|0|0|0|1|0|0|3|8|0|1
20101305  |SEPTIMO                  |07|41,545|41,364|41,091|40,091|41,182|4|5|6|5|5|F|Madre,Padre|2 |2003|union libre    |2|0|2016|0|0|1|0|0|0|0|1|0|0|8|13|0|1
20101237  |SEPTIMO                  |04|43,364|42,364|43,091|43,909|43,273|3|4|4|4|4|F|Padre|2 |2004|casado(a)(os)  |2|0|2016|0|1|0|0|1|0|0|0|0|0|8|12|0|1
20101237  |UNDECIMO                 |02|35,667|35,833|,000|36,083|,000|27|22|1|25|0|F|Padre|2 |2004|casado(a)(os)  |2|0|2021|0|1|0|0|1|0|0|0|0|0|12|17|0|1
20101243  |CUARTO                   |02|45,100|44,400|44,100|45,900|44,800|3|3|6|3|4|F|Madre,Padre|1 |2004|casado(a)(os)  |2|0|2014|0|0|1|0|1|0|0|0|0|0|5|10|0|1
20101243  |QUINTO                   |03|45,100|44,800|44,600|43,000|44,600|2|2|2|4|2|F|Madre,Padre|1 |2004|casado(a)(os)  |2|0|2015|0|0|1|0|1|0|0|0|0|0|6|11|0|1
20101243  |SEPTIMO                  |02|43,545|44,727|43,818|40,182|43,182|2|4|3|5|3|F|Madre,Padre|1 |2004|casado(a)(os)  |2|0|2017|0|0|1|0|1|0|0|0|0|0|8|13|0|1
20101243  |TERCERO                  |02|46,300|46,700|46,100|43,500|45,900|2|2|3|3|3|F|Madre,Padre|1 |2004|casado(a)(os)  |2|0|2013|0|0|1|0|1|0|0|0|0|0|4|9|0|1
20101246  |PRIMERO                  |01|43,500|44,300|46,300|45,600|45,000|19|15|7|12|14|M|Madre,Padre|2 |2004|union libre    |2|0|2011|0|0|1|0|0|0|0|1|0|0|2|7|1|0
20101249  |CUARTO                   |01|38,400|37,000|36,400|38,100|37,600|15|22|15|16|17|M|Madre,Padre|1 |2004|union libre    |2|2018|2014|0|0|1|0|0|0|0|1|0|0|5|10|1|0
20101249  |TERCERO                  |01|36,100|36,000|37,300|38,000|37,000|27|19|19|18|20|M|Madre,Padre|1 |2004|union libre    |2|2018|2013|0|0|1|0|0|0|0|1|0|0|4|9|1|0
20101250  |SEGUNDO                  |02|33,364|33,273|36,818|25,455|32,273|30|32|33|34|36|M|Madre,Padre|1 |2004|union libre    |2|0|2012|0|0|1|0|0|0|0|1|0|0|3|8|1|0
20101251  |PRIMERO                  |01|37,200|38,000|35,600|45,300|39,100|30|28|25|14|27|M|Madre,Padre|1 |2004|union libre    |2|2014|2011|0|0|1|0|0|0|0|1|0|0|2|7|1|0
20101252  |SEGUNDO                  |02|38,727|39,364|41,545|43,091|40,727|8|16|17|12|16|M|Padre|3 |2004|casado(a)(os)  |2|0|2012|0|1|0|0|1|0|0|0|0|0|3|8|1|0
20101254  |PRIMERO                  |02|40,300|42,500|37,000|34,800|38,700|9|2|24|25|19|M|Madre,Padre|1 |2004|union libre    |2|0|2011|0|0|1|0|0|0|0|1|0|0|2|7|1|0
20101254  |SEGUNDO                  |01|34,273|35,545|32,727|32,727|34,182|31|37|32|32|30|M|Madre,Padre|1 |2004|union libre    |2|0|2012|0|0|1|0|0|0|0|1|0|0|3|8|1|0
20101255  |SEGUNDO                  |01|43,909|45,545|45,727|45,000|45,182|9|8|7|10|8|F|Madre,Padre|6 |2004|union libre    |2|0|2012|0|0|1|0|0|0|0|1|0|0|3|8|0|1
20101255  |SEPTIMO                  |02|35,818|39,364|35,273|36,273|36,727|13|12|14|16|11|F|Madre,Padre|6 |2004|union libre    |2|0|2017|0|0|1|0|0|0|0|1|0|0|8|13|0|1
20101256  |OCTAVO                   |03|41,917|41,333|38,333|39,250|40,250|4|3|10|7|5|M|Madre|3 |2005|separado(a)(os)|2|0|2018|1|0|0|0|0|0|1|0|0|0|9|13|1|0
20101257  |QUINTO                   |03|36,600|34,600|38,500|37,100|36,800|18|24|17|23|18|M|Padre|3 |2004|casado(a)(os)  |2|2020|2015|0|1|0|0|1|0|0|0|0|0|6|11|1|0
20101257  |SEXTO                    |03|36,727|34,818|35,091|40,727|37,091|20|19|23|10|17|M|Padre|3 |2004|casado(a)(os)  |2|2020|2016|0|1|0|0|1|0|0|0|0|0|7|12|1|0
20101258  |CUARTO                   |01|42,900|44,400|41,800|44,000|43,400|6|4|3|3|4|F|Madre,Padre|1 |2004|casado(a)(os)  |2|0|2014|0|0|1|0|1|0|0|0|0|0|5|10|0|1
20101260  |PRIMERO                  |01|38,600|39,700|42,400|37,900|39,800|27|25|16|27|25|F|Madre|5 |2005|union libre    |2|0|2011|1|0|0|0|0|0|0|1|0|0|2|6|0|1
20101260  |SEGUNDO                  |01|42,091|42,455|44,727|43,455|43,273|15|19|11|16|16|F|Madre|5 |2005|union libre    |2|0|2012|1|0|0|0|0|0|0|1|0|0|3|7|0|1
20101260  |UNDECIMO                 |03|36,417|36,583|,000|36,667|,000|13|7|1|14|0|F|Madre|5 |2005|union libre    |2|0|2021|1|0|0|0|0|0|0|1|0|0|12|16|0|1
20101260  |UNDECIMO                 |04|36,417|36,583|,000|36,667|,000|13|7|1|14|0|F|Madre|5 |2005|union libre    |2|0|2021|1|0|0|0|0|0|0|1|0|0|12|16|0|1
20101262  |QUINTO                   |03|34,000|34,400|33,400|33,700|34,000|25|20|25|27|26|M|Madre,Padre|1 |2004|union libre    |2|0|2016|0|0|1|0|0|0|0|1|0|0|6|12|1|0
20101236  |SEXTO                    |01|38,455|41,273|33,818|38,091|38,000|18|8|25|15|15|M|Madre|3 |2004|soltero(a)(os) |2|0|2016|1|0|0|0|0|1|0|0|0|0|7|12|1|0
20101237  |TERCERO                  |01|45,800|45,900|46,200|43,700|45,300|1|2|2|3|2|F|Padre|2 |2004|casado(a)(os)  |2|0|2013|0|1|0|0|1|0|0|0|0|0|4|9|0|1
20101238  |CUARTO                   |01|41,500|40,500|38,600|39,700|40,200|9|10|10|11|10|M|Madre,Padre|1 |2004|union libre    |2|0|2014|0|0|1|0|0|0|0|1|0|0|5|10|1|0
20101238  |CUARTO                   |03|39,500|41,300|41,200|41,200|41,000|9|7|9|10|9|M|Madre,Padre|1 |2004|union libre    |2|0|2015|0|0|1|0|0|0|0|1|0|0|5|11|1|0
20101238  |DECIMO                   |01|37,833|31,250|35,917|34,917|,000|17|22|19|20|1|M|Madre,Padre|1 |2004|union libre    |2|0|2020|0|0|1|0|0|0|0|1|0|0|11|16|1|0
20101238  |UNDECIMO                 |04|35,167|28,250|,000|31,833|,000|18|25|1|25|0|M|Madre,Padre|1 |2004|union libre    |2|0|2021|0|0|1|0|0|0|0|1|0|0|12|17|1|0
20101243  |PRIMERO                  |01|49,200|49,800|50,000|49,900|49,800|3|2|1|1|2|F|Madre,Padre|1 |2004|casado(a)(os)  |2|0|2011|0|0|1|0|1|0|0|0|0|0|2|7|0|1
20101245  |OCTAVO                   |02|40,333|41,833|42,500|39,417|41,000|3|2|2|2|2|F|Madre,Padre|1 |2004|casado(a)(os)  |2|0|2018|0|0|1|0|1|0|0|0|0|0|9|14|0|1
20101245  |QUINTO                   |01|46,700|47,500|47,500|47,000|47,300|1|2|1|1|1|F|Madre,Padre|1 |2004|casado(a)(os)  |2|0|2015|0|0|1|0|1|0|0|0|0|0|6|11|0|1
20101246  |CUARTO                   |01|38,300|39,700|36,400|40,900|38,900|16|13|15|9|13|M|Madre,Padre|2 |2004|union libre    |2|0|2014|0|0|1|0|0|0|0|1|0|0|5|10|1|0
20101246  |SEPTIMO                  |06|35,545|37,273|38,273|41,182|38,182|12|11|7|5|8|M|Madre,Padre|2 |2004|union libre    |2|0|2017|0|0|1|0|0|0|0|1|0|0|8|13|1|0
20101246  |TERCERO                  |01|39,900|35,400|37,600|38,800|37,900|13|23|18|16|18|M|Madre,Padre|2 |2004|union libre    |2|0|2013|0|0|1|0|0|0|0|1|0|0|4|9|1|0
20101249  |QUINTO                   |01|38,000|35,500|33,800|37,500|36,100|15|19|23|19|20|M|Madre,Padre|1 |2004|union libre    |2|2018|2015|0|0|1|0|0|0|0|1|0|0|6|11|1|0
20101250  |SEGUNDO                  |07|35,000|36,500|35,800|36,100|35,900|23|22|18|23|21|M|Madre,Padre|1 |2004|union libre    |2|0|2013|0|0|1|0|0|0|0|1|0|0|3|9|1|0
20101251  |SEGUNDO                  |02|34,182|34,455|38,727|30,455|34,636|27|31|27|30|34|M|Madre,Padre|1 |2004|union libre    |2|2014|2012|0|0|1|0|0|0|0|1|0|0|3|8|1|0
20101252  |CUARTO                   |02|38,600|39,100|37,800|39,000|38,700|17|18|18|20|19|M|Padre|3 |2004|casado(a)(os)  |2|0|2014|0|1|0|0|1|0|0|0|0|0|5|10|1|0
20101252  |QUINTO                   |03|40,300|38,300|38,900|40,000|39,600|9|12|15|13|7|M|Padre|3 |2004|casado(a)(os)  |2|0|2015|0|1|0|0|1|0|0|0|0|0|6|11|1|0
20101254  |SEGUNDO                  |02|42,364|43,091|39,273|37,545|40,727|11|8|15|23|14|M|Madre,Padre|1 |2004|union libre    |2|0|2013|0|0|1|0|0|0|0|1|0|0|3|9|1|0
20101255  |DECIMO                   |01|40,083|40,000|,000|40,250|,000|11|9|1|11|0|F|Madre,Padre|6 |2004|union libre    |2|0|2021|0|0|1|0|0|0|0|1|0|0|11|17|0|1
20101255  |SEXTO                    |02|38,545|39,182|37,727|39,727|38,909|14|14|17|15|15|F|Madre,Padre|6 |2004|union libre    |2|0|2016|0|0|1|0|0|0|0|1|0|0|7|12|0|1
20101255  |TERCERO                  |01|41,000|40,200|40,400|38,100|39,900|11|12|13|17|14|F|Madre,Padre|6 |2004|union libre    |2|0|2013|0|0|1|0|0|0|0|1|0|0|4|9|0|1
20101256  |UNDECIMO                 |04|42,583|43,083|,000|43,083|,000|9|9|1|9|0|M|Madre|3 |2005|separado(a)(os)|2|0|2021|1|0|0|0|0|0|1|0|0|0|12|16|1|0
20101258  |QUINTO                   |02|44,000|44,200|46,500|46,600|45,400|2|2|1|1|2|F|Madre,Padre|1 |2004|casado(a)(os)  |2|0|2015|0|0|1|0|1|0|0|0|0|0|6|11|0|1
20101258  |UNDECIMO                 |04|39,000|28,583|,000|34,083|,000|21|30|1|28|0|F|Madre,Padre|1 |2004|casado(a)(os)  |2|0|2021|0|0|1|0|1|0|0|0|0|0|12|17|0|1
20101260  |DECIMO                   |01|39,833|40,250|41,000|40,500|,000|12|11|12|11|1|F|Madre|5 |2005|union libre    |2|0|2020|1|0|0|0|0|0|0|1|0|0|11|15|0|1
20101260  |NOVENO                   |01|36,167|33,500|31,917|32,583|33,750|17|22|24|18|20|F|Madre|5 |2005|union libre    |2|0|2019|1|0|0|0|0|0|0|1|0|0|10|14|0|1
20101260  |SEPTIMO                  |03|37,364|37,909|37,636|36,364|37,455|10|16|16|19|13|F|Madre|5 |2005|union libre    |2|0|2017|1|0|0|0|0|0|0|1|0|0|8|12|0|1
20101262  |SEPTIMO                  |02|28,909|31,636|31,364|30,727|,000|25|22|18|23|1|M|Madre,Padre|1 |2004|union libre    |2|0|2020|0|0|1|0|0|0|0|1|0|0|8|16|1|0
20101034  |UNDECIMO                 |01|35,250|40,500|39,000|41,167|38,917|12|2|5|3|3|F|Madre|2 |1995|separado(a)(os)|2|0|2012|1|0|0|0|0|0|1|0|0|0|12|17|0|1
20101036  |UNDECIMO                 |01|36,250|36,364|38,500|38,667|37,667|9|14|10|19|11|F|No registra|0 |1995|no registra    |1|0|2012|0|0|0|0|0|0|0|0|0|0|12|17|0|1
20101040  |UNDECIMO                 |02|35,250|34,000|36,583|37,167|36,167|18|20|19|18|18|M|No registra|0 |1994|no registra    |3|0|2013|0|0|0|0|0|0|0|0|0|0|12|19|1|0
20101042  |DECIMO                   |03|37,556|36,167|35,556|38,778|37,167|4|15|18|12|11|F|No registra|0 |1995|no registra    |7|0|2011|0|0|0|0|0|0|0|0|0|0|11|16|0|1
20101044  |NOVENO                   |05|37,867|37,467|39,000|36,000|37,667|9|6|4|11|7|M|Madre,Padre|2 |1995|casado(a)(os)  |2|0|2010|0|0|1|0|1|0|0|0|0|0|10|15|1|0
20101048  |NOVENO                   |05|35,200|33,000|35,733|34,467|34,800|19|21|14|20|20|F|Madre,Padre|2 |1994|union libre    |3|0|2010|0|0|1|0|0|0|0|1|0|0|10|16|0|1
20101052  |NOVENO                   |05|39,333|40,067|41,000|38,333|39,867|3|3|1|1|2|F|No registra|0 |1996|no registra    |2|0|2010|0|0|0|0|0|0|0|0|0|0|10|14|0|1
20101056  |NOVENO                   |05|35,867|31,133|35,333|34,800|34,467|16|27|15|18|22|F|No registra|0 |1995|no registra    |2|0|2010|0|0|0|0|0|0|0|0|0|0|10|15|0|1
20101058  |UNDECIMO                 |01|36,750|38,083|38,750|39,250|38,083|6|6|7|14|7|F|Madre|2 |1997|no registra    |2|0|2012|1|0|0|0|0|0|0|0|0|0|12|15|0|1
20101307  |SEGUNDO                  |06|31,300|30,400|33,300|30,900|31,900|23|21|26|22|22|M|Madre,Padre|4 |2004|union libre    |1|2018|2012|0|0|1|0|0|0|0|1|0|0|3|8|1|0
